name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Dynamic Grid,nightcrosstargeting,2,,,offensive,Weapons,10000,,TRUE,,0,0,0,0,data.scripts.hullmods.NightcrossTargeting,"Dynamic coils reroute power to weapons systems while shields are offline, reducing the flux cost and increasing rate of fire by %s. Bonuses return %s/%s/%s/%s after shields have been disabled, depending on hull size.

Additionally, shields deploy %s more quickly and dissipation is increased by %s/%s/%s/%s while venting.
",Increases non-missile rate of fire and flux efficiency while shields are down.,,graphics/hullmods/na_fulldive.png
Tidal Grid,na_tidalgrid,3,,,offensive,Weapons,10000,,TRUE,,0,0,0,0,data.scripts.hullmods.NA_TidalGrid,"The ship's flux systems are designed to handle an unknown device called a ""Tidal Reactor"" while the phase coil is active. A side-benefit is that energy from this subsystem can be redirected to reduce the flux cost of non-missile weapons and increase rate of fire by %s. The system is disrupted at the start of a phase dive, and is re-engaged after remaining in phase space for  %s/%s/%s/%s.

Additionally, the threshold at which phase coils reach minimum efficiency is increased by %s and flux dissipation is increased by %s/%s/%s/%s while venting. This system is incompatible with Adaptive Phase Coil technology. ",Increases non-missile rate of fire and flux efficiency after remaining in phase for long enough.,,graphics/hullmods/na_fulldive.png
Hardlight Matrix,na_hardlightmatrix,2,,,defensive,Defenses,10000,,TRUE,,0,0,0,0,data.scripts.hullmods.NA_HardlightMatrix,"This ship is protected by a veil-like layer of hardlight, produced by externally-mounted generators. Each generator, while active, increases armor (for damage calculation only) by %s/%s/%s/%s. Disabled when overloaded or venting flux.",Increases armor based on remaining modules.,,graphics/hullmods/na_fulldive.png
Overloaded Missile Racks,na_slowmissiles,2,,,offensive,Weapons,10000,,TRUE,,0,0,0,0,data.scripts.hullmods.NA_SlowMissiles,"Reduces the rate of fire of all missile weapons on this ship by %s. Penalty can be reduced by installing synergy weapons in missile slots, non-missiles in synergy slots, or leaving missile/synergy slots empty. Current penalty: %s.",Slows the fire rate of missile weapons.,,graphics/hullmods/na_slowmissiles.png
Plasma Aggregator,na_plasmaaggregator,2,,,offensive,Weapons,8000,,,,4,8,12,16,data.scripts.hullmods.NA_PlasmaAggregator,Synergy weapons fire and regain charges %s faster. Energy weapons in synergy mounts use %s less flux.,Boosts fire rate of synergy weapons and reduces flux costs of energy weapons in synergy mounts.,Increases the ammo/charge regeneration rate for energy weapons by %s.,graphics/hullmods/na_plasmaaggregator.png
Armor Energizer Matrix,na_energizedarmor,2,,,defensive,Defenses,8000,,,,4,8,12,16,data.scripts.hullmods.NA_EnergizedArmor,"Modifies the ship's flux grid to store hardlight energy when building hard flux, reducing overall flux dissipation by %s but providing hull damage resistance based on the stored energy.

Hardlight energy is stored at a 1:1 ratio to hard flux built, while incoming damage dissipates it at a %s rate. Max energy is %s depending on hull size.

At max energy, the ship gains %s effective armor and %s hull damage resistance, which drops off as the energy is dissipated.",Building hard flux grants a decaying armor boost.,Removes the flux dissipation penalty.,graphics/hullmods/na_energizedarmor.png
Project: GHOST,na_fulldive,2,,,utility,Utility,50000,,TRUE,,0,0,0,0,data.scripts.hullmods.NA_ProjectGhost,"This ship has been refitted to an automation standard that differs from those in Tri-Tachyon droneships. Notably, the ship possesses life support facilities for a single human pilot and an interface for an AI core of nonstandard make.

It is possible to assign a standard AI core to captain this ship, but the outdated protocols and nonstandard interface results in a %s Combat Readiness penalty.",Allows a single pilot to command an entire vessel.,,graphics/hullmods/na_fulldive.png
Shield Stabilizer,na_shieldstabilizer,2,,,utility,Utility,50000,,TRUE,,0,0,0,0,data.scripts.hullmods.NA_ShieldStabilizer,Draws hard flux from nearby friendlies,Draws hard flux from nearby friendlies,,graphics/hullmods/na_fulldive.png
Repair Coordinator,na_repairdrones,2,,,utility,Utility,50000,,TRUE,,0,0,0,0,data.scripts.hullmods.NA_RepairDrones,"This ship is outfitted with a delta-level AI coordinator for repair operations, allowing its drones to conduct repair operations on damaged vessels. Each allied ship can restore a maximum of %s of its maximum hull from all ships with this hullmod.",Ship has built-in repair drones.,,graphics/hullmods/repair_gantry.png
Helical Drive,na_helical,2,,,offensive,Weapons,50000,,TRUE,,0,0,0,0,data.scripts.hullmods.NA_Helical,Activates the zero-flux boost when the ship system is off cooldown.,Zero flux boost always active when ship system is off cooldown.,,graphics/hullmods/na_helical.png
Precision Drives,nightcrossengines,2,,,defensive,"Engines, Defenses",10000,,TRUE,,0,0,0,0,data.scripts.hullmods.NightcrossEngines,"This ship's drive systems are particularly complex and sensitive, adding %s to the zero-flux speed boost but taking %s additional damage from enemy weapons fire. Additional safety protocols are engaged when hull damage is taken, fully disabling the zero-flux engine boost at %s hull integrity.","Engines take increased damage, no zero flux boost when hull is damaged.",,graphics/hullmods/augmented_drive_field2.png
Precision Drives,na_overloadweapons,2,,,defensive,"Engines, Defenses",10000,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.NA_OverloadWeapons,This module's weapons suffer EMP damage when the host ship is overloading.,This module's weapons suffer EMP damage when the host ship is overloading.,,graphics/hullmods/augmented_drive_field2.png
RCS,na_rcs,2,,,defensive,"Engines, Defenses",10000,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.NA_EngineRCS,Visual RCS Thrusters,Visual RCS Thrusters,,graphics/hullmods/augmented_drive_field2.png
NightcrossModuleFixer,na_fakemodule,2,,,defensive,"Engines, Defenses",10000,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.NA_FakeModule,NightcrossModuleFixer,Visual RCS Thrusters,,graphics/hullmods/augmented_drive_field2.png
Stargazer,na_stargazerhullmod,,,,"codex_require_related, stargazer",,,,TRUE,,0,0,0,0,data.scripts.hullmods.NA_StargazerHull,Hidden hullmod for managing the special properties of Threat ships. Description created in script.,,,graphics/hullmods/the_threat.png
Stardust,na_stargazerstars,,,,"codex_unlockable, stargazer","Weapons, Special",30000,,,,6,12,18,30,data.scripts.hullmods.NA_StargazerStars,"A swarm of Threat fragments roils around the ship, providing a regenerating supply of fragments for fragment-based weapons.

The base number of fragments is %s/%s/%s/%s, and replacement fragments are launched %s/%s/%s/%s times a second, depending on hull size.

This hullmod is required for fragment weapons to function, if the hullmod is not present or there are not enough fragments in the swarm, fragment weapons will be disabled.",A swarm of Threat fragments roils around the ship.,Reduces maximum combat readiness by %s and increases the maintenance cost by %s.,graphics/hullmods/fragment_swarm.png
